@relation Dataset

@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5}

@data
15,28,37,12,1,9,-2,-37,1
15,31,38,13,2,10,-3,-36,1
9,23,36,4,-1,2,-10,-35,1
10,31,37,13,4,7,-5,-36,1
14,29,36,16,2,11,-4,-36,1
7,18,30,9,-8,6,-12,-36,1
10,26,36,15,-3,7,0,-34,1
3,24,32,8,-2,3,-3,-35,1
5,26,34,8,-2,3,-3,-35,1
9,32,39,1,1,8,-3,-35,1
6,30,36,14,-1,11,-4,-35,1
3,27,37,8,-7,13,-11,-35,1
8,24,38,9,-2,7,-6,-35,1
12,28,46,15,3,9,-3,-33,1
10,25,38,7,-1,9,-4,-35,1
9,29,42,8,4,4,-6,-34,1
8,21,38,7,2,5,-9,-34,1
12,31,36,11,0,5,-2,-32,1
13,29,36,13,1,8,-9,-33,1
17,28,38,17,-2,9,-9,-33,1
7,28,31,9,5,8,-9,-32,1
12,28,35,15,3,15,-2,-30,1
5,21,25,14,-3,11,-6,-30,1
6,25,24,15,0,10,-5,-30,1
3,29,30,7,0,11,-7,-30,1
10,23,32,13,-3,8,-2,-32,1
11,26,38,16,0,9,-1,-31,1
9,26,40,11,3,12,-5,-32,1
7,27,33,7,0,10,-7,-33,1
9,31,32,10,-1,8,-6,-34,1
16,32,30,9,-8,7,-10,-34,1
15,20,33,18,1,12,0,-34,1
14,19,29,15,2,9,-2,-35,1
4,28,25,14,2,6,0,-35,1
9,23,30,16,-4,8,-5,-34,1
8,24,30,21,-1,12,2,-34,1
5,32,29,21,8,11,-2,-34,1
9,12,22,15,-7,10,-10,-36,1
10,23,31,14,9,10,1,-37,1
16,34,45,16,8,12,1,-35,1
11,32,38,16,2,9,0,-34,1
6,19,31,9,-5,8,-4,-34,1
2,24,27,2,-10,4,-16,-36,1
1,21,33,7,-10,3,-16,-35,1
0,23,38,3,-8,4,-14,-35,1
4,21,37,6,-4,-1,-12,-35,1
3,18,35,0,-3,-1,-13,-34,1
6,24,39,12,2,5,-4,-35,1
13,28,43,8,-2,2,-4,-35,1
1,29,41,8,-6,5,-9,-35,1
12,25,50,10,-3,6,-9,-36,1
12,26,50,11,0,13,-6,-34,1
5,23,49,9,-4,10,-6,-35,1
5,27,46,10,10,10,-4,-34,1
2,22,45,7,7,6,-7,-35,1
6,25,51,11,-1,10,-5,-35,1
14,28,53,15,3,9,-2,-35,1
13,25,53,12,1,9,-4,-35,1
10,23,56,18,-2,6,-1,-35,1
11,28,57,15,3,12,0,-35,1
11,29,51,18,-3,10,-2,-35,1
4,31,50,16,-3,9,-3,-34,1
9,28,46,12,-4,8,-10,-33,1
7,24,41,13,2,7,-5,-34,1
10,23,33,8,-3,6,-5,-34,1
10,28,39,10,3,5,0,-33,1
12,31,40,21,7,13,-2,-33,1
13,26,35,18,2,11,5,-33,1
2,20,30,11,-5,2,-10,-33,1
5,25,25,15,-1,5,-7,-34,1
15,35,26,11,7,13,2,-34,1
10,26,33,12,0,11,-4,-34,1
11,29,32,16,3,10,-2,-33,1
10,33,25,19,5,7,-3,-33,1
7,25,30,11,-4,8,-1,-33,1
13,21,30,18,-1,4,-4,-34,1
14,29,35,17,6,10,-3,-35,1
13,24,36,16,6,12,-4,-35,1
4,27,26,9,-3,5,-3,-36,1
8,30,29,22,8,12,2,-36,1
9,9,22,14,-2,5,-12,-36,1
2,16,24,17,-1,8,-12,-34,1
8,17,32,14,-4,6,-9,-35,1
6,24,32,14,0,9,-5,-35,1
9,24,33,16,2,11,-3,-36,1
6,18,33,11,-3,13,-3,-35,1
4,24,32,13,-7,6,-4,-35,1
7,21,33,17,10,13,2,-35,1
11,13,23,15,0,8,-7,-36,1
1,16,27,10,-4,-1,-11,-36,1
