@relation Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute AN0 numeric
@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
10,31,10,10,35,11,-6,24,-16,6
7,24,-2,6,25,5,-9,23,-13,6
11,10,-6,6,13,5,-2,29,-17,6
3,12,-6,0,11,0,-12,20,-15,6
3,15,-10,-1,9,3,-13,21,-16,6
7,16,-3,16,10,8,-13,20,-14,6
2,15,-8,2,15,2,-17,34,-16,6
17,27,0,10,25,16,-3,30,-16,6
7,18,0,11,22,12,-6,28,-17,6
6,12,4,11,24,7,-12,26,-14,6
78,40,3,12,30,10,1,22,-17,6
14,33,2,10,22,8,-1,23,-16,6
3,13,-2,14,18,5,-6,22,-14,6
-2,5,2,-1,1,1,-15,22,-15,6
8,32,5,4,40,6,-3,24,-17,6
13,18,5,19,23,13,-2,22,-15,6
19,27,1,4,31,5,-5,64,5,6
7,27,7,12,29,9,-4,35,1,6
7,11,-3,10,15,2,-7,21,-12,6
10,16,-4,6,16,8,-6,20,-12,6
20,27,-1,-3,20,15,-1,17,-17,6
2,11,-6,-1,10,-1,-13,20,-15,6
-2,2,2,-1,3,-3,-14,22,-15,6
15,26,-2,4,24,6,-11,20,-16,6
12,26,2,15,26,7,6,22,-13,6
14,36,6,10,28,10,-7,21,-18,6
6,36,4,15,41,9,-9,29,-20,6
9,28,-1,2,25,8,-6,21,-16,6
9,23,-4,2,13,4,-3,19,-15,6
21,20,1,4,20,15,2,23,-17,6
4,19,-3,5,24,7,-4,29,-15,6
1,13,-9,-2,10,-1,-20,23,-13,6
8,32,5,3,30,3,-13,21,-16,6
3,31,1,7,29,8,-9,22,-17,6
12,19,2,1,15,10,-3,21,-17,6
6,17,1,9,19,4,-8,24,-17,6
19,35,17,13,38,15,4,25,-19,6
7,27,6,5,32,10,-3,24,-18,6
1,9,2,7,9,4,-11,22,-15,6
11,23,4,5,21,10,5,24,-18,6
8,12,-9,-2,13,1,-16,23,-12,6
21,28,0,5,19,8,-11,27,-18,6
10,17,-7,5,10,8,-7,19,-11,6
11,16,-7,2,15,5,-2,30,-17,6
14,30,5,5,31,9,-9,25,-14,6
12,16,-2,-1,22,4,-3,32,-17,6
19,24,-4,9,76,17,5,29,-17,6
12,36,6,6,38,8,-6,29,-19,6
13,31,3,14,31,10,-5,25,-15,6
13,15,-1,15,22,7,-3,22,-15,6
7,13,0,10,21,5,-1,22,-15,6
10,36,-1,0,32,2,-12,23,-19,6
16,29,7,10,33,12,-4,22,-17,6
13,36,5,7,28,5,-9,21,-18,6
15,32,8,13,43,11,-7,23,-16,6
12,46,0,7,33,11,-3,21,-13,6
6,33,4,5,35,8,-6,21,-20,6
10,19,-1,13,18,8,-6,23,-16,6
5,12,-5,9,17,2,-14,19,-15,6
7,15,4,3,26,7,-2,37,-13,6
12,20,-3,9,19,11,1,19,-11,6
5,30,3,6,29,10,-10,24,-18,6
10,39,6,12,38,9,-7,19,-15,6
10,27,3,10,31,7,-6,22,-19,6
15,25,-3,6,32,8,-11,23,-16,6
20,31,12,14,41,15,-3,27,-18,6
14,30,3,7,26,8,-4,23,-15,6
9,34,2,11,35,5,-3,21,-15,6
3,16,-3,8,13,-2,-13,19,-10,6
8,27,1,13,26,10,-4,18,-16,6
2,14,-12,-3,8,0,-14,21,-16,6
4,20,-3,6,23,1,-12,25,-15,6
9,21,0,16,12,11,-8,18,-13,6
12,17,-9,1,10,0,-8,23,-12,6
16,23,-1,8,22,9,-7,30,-17,6
